ALFABETA;PRINCIPIO ACTIVO;MARCA COMERCIAL;PRESENTACION;LABORATORIO;PVP PAMI AL 02/06/2025;COBERTURA;IMPORTE AFILIADO
23480;trolamina;BIAFINE;emuls.x 93 g;Craveri;$ 1122.44;50%;$ 561.22
2128;troxerrutina+escina;TROXEVEN FORTE;500 mg comp.x 20;Craveri;$ 14553.68;50%;$ 7276.84
2129;troxerrutina+escina;TROXEVEN FORTE;500 mg comp.x 40;Craveri;$ 25069.6;50%;$ 12534.8
30518;antipirina+sodio,carbonato+asoc.;SINCERUM;gts.x 5 ml;Dallas;$ 6213.01;50%;$ 3106.51
33248;budesonide;PROETZONIDE NEBU;fco.x 20 ml;Dallas;$ 15079.22;60%;$ 6031.69
28354;cetirizina;CABAL;comp.x 10;Dallas;$ 8106.49;40%;$ 4863.89
32340;cetirizina;CABAL;comp.x 30;Dallas;$ 15511.89;40%;$ 9307.13
28355;cetirizina;CABAL;gts.x 10 ml;Dallas;$ 7647.97;40%;$ 4588.78
39724;dexametasona+neomicina+asoc.;PROETZTOTAL;sol.p/nebulizar x 10 ml;Dallas;$ 10141.23;50%;$ 5070.62
39725;dexametasona+neomicina+asoc.;PROETZTOTAL;sol.p/nebulizar x 20 ml;Dallas;$ 14953.99;50%;$ 7477
2464;loperamida;VILTAR;comp.x 10;Dallas;$ 4906.35;50%;$ 2453.18
33249;loperamida;VILTAR;comp.x 20;Dallas;$ 7197.93;50%;$ 3598.97
11149;natamicina;NATACYN;fco.x 15 ml;Daxley;$ 8988;50%;$ 4494
54508;acetilcisteína;DENVERMUC 600;600 mg sob.x 10;Denver Farma;$ 10820.68;50%;$ 5410.34
40220;alprazolam;ALPRAZOLAM DENVER FARMA;0.5 mg comp.x 60;Denver Farma;$ 6833.4;50%;$ 3416.7
40221;alprazolam;ALPRAZOLAM DENVER FARMA;1 mg comp.x 60;Denver Farma;$ 10911.83;50%;$ 5455.92
33849;alprazolam;ALPRAZOLAM DENVER FARMA;2 mg comp.x 30;Denver Farma;$ 469.82;50%;$ 234.91
40222;alprazolam;ALPRAZOLAM DENVER FARMA;2 mg comp.x 60;Denver Farma;$ 17137.63;50%;$ 8568.82
41319;amlodipina;AMLODIPINA DENVER FARMA;10 mg comp.x 30;Denver Farma;$ 2646.8;60%;$ 1058.72
39183;atorvastatín;LIPOSTOP;10 mg comp.x 30;Denver Farma;$ 26396.91;80%;$ 5279.38
39184;atorvastatín;LIPOSTOP;20 mg comp.x 30;Denver Farma;$ 38427.42;80%;$ 7685.48
48292;betametasona;DENVERCORT;0.1% cr.x 15 g;Denver Farma;$ 461.8;50%;$ 230.9
27522;betametasona+gentamic.+miconazol;DENVERCREM DENVER FARMA;cr.x 20 g;Denver Farma;$ 9369.46;50%;$ 4684.73
58196;bromfenac;OFTALFENAC;sol.oft.x 5 ml;Denver Farma;$ 13852.33;50%;$ 6926.17
40086;budesonide;BUDESONIDA DF BRONQUIAL;aerosol x 200 dosis;Denver Farma;$ 19354.41;80%;$ 3870.88
40610;budesonide;BUDESONIDA DF NEBU;env.x 20 ml;Denver Farma;$ 15716.98;80%;$ 3143.4
16493;carbamazepina;CARBAMAZEPINA DENVER FARMA;200 mg comp.x 30;Denver Farma;$ 12007.11;80%;$ 2401.42
43831;carbamazepina;CARBAMAZEPINA DENVER FARMA;200 mg comp.x 60;Denver Farma;$ 22925.65;80%;$ 4585.13
41250;carbomer 974 p;ALIVIALUX;gel oft.x 10 g;Denver Farma;$ 12674.64;50%;$ 6337.32
51436;carboximetilcelulosa sódica;ALIVIAMAX;0.5% sol.oft.x 10 ml;Denver Farma;$ 7796.34;50%;$ 3898.17
51437;carboximetilcelulosa sódica;ALIVIAMAX;1% sol.oft.x 10 ml;Denver Farma;$ 8929.93;50%;$ 4464.97
43081;carvedilol;CARDIONORM;12.5 mg comp.x 28;Denver Farma;$ 10097.41;60%;$ 4038.96
43082;carvedilol;CARDIONORM;25 mg comp.x 28;Denver Farma;$ 11853.79;60%;$ 4741.52
43080;carvedilol;CARDIONORM;6.25 mg comp.x 28;Denver Farma;$ 8442.98;60%;$ 3377.19
51749;cilostazol;DENCILOX;100 mg comp.x 30;Denver Farma;$ 25538.37;60%;$ 10215.35
27809;ciprofloxacina;CIPROFLOXACINA DENVER FARMA;500 mg comp.rec.x 10;Denver Farma;$ 14200.98;60%;$ 5680.39
33998;ciprofloxacina;CIPROFLOXACINA DENVER FARMA;sol.oft.x 5 ml;Denver Farma;$ 8544.68;60%;$ 3417.87
37835;ciprofloxacina+dexametasona;TACINES;susp.oft.x 5 ml;Denver Farma;$ 10092.83;50%;$ 5046.42
44473;clonazepam;CLONAZEPAM DENVER FARMA;0.5 mg comp.x 60;Denver Farma;$ 11037.82;50%;$ 5518.91
44475;clonazepam;CLONAZEPAM DENVER FARMA;2 mg comp.x 60;Denver Farma;$ 11322.28;80%;$ 2264.46
47203;condroitín,sulfato+glucosamina;GLUCODUO;1500/1200 mg sob.x 30;Denver Farma;$ 2928.22;50%;$ 1464.11
33768;diclofenac potásico+paracetamol;PANCLOGESIC;50/300 mg comp.rec.x 10;Denver Farma;$ 6714.93;40%;$ 4028.96
33769;diclofenac potásico+paracetamol;PANCLOGESIC;50/300 mg comp.rec.x 30;Denver Farma;$ 17991.7;40%;$ 10795.02
32111;diclofenac sódico;DICLOFENAC DENVER FARMA;75 mg comp.x 15;Denver Farma;$ 578.13;40%;$ 346.88
32112;diclofenac sódico;DICLOFENAC DENVER FARMA;75 mg comp.x 30;Denver Farma;$ 909.98;40%;$ 545.99
30217;diclofenac sódico;DICLOFENAC DENVER FARMA;75 mg/3 ml a.x 6;Denver Farma;$ 13603.47;40%;$ 8162.08
35354;diclofenac+pridinol;PANCLOFLEX;comp.rec.x 10;Denver Farma;$ 6984.66;40%;$ 4190.8
35355;diclofenac+pridinol;PANCLOFLEX;comp.rec.x 20;Denver Farma;$ 12967.48;40%;$ 7780.49
40720;diclofenac+vit.b12+betametasona;PANCLO B12;comp.rec.x 20;Denver Farma;$ 23123.91;40%;$ 13874.35
41574;diclofenac+vit.b12+betametasona;PANCLO B12;iny.a.x 3 x 3 ml;Denver Farma;$ 25081.78;40%;$ 15049.07
41575;diclofenac+vit.b12+betametasona;PANCLO B12;iny.a.x 6 x 3 ml;Denver Farma;$ 41179.92;40%;$ 24707.95
30218;difenhidramina;DIFENHIDRAMINA DENVER FARMA;50 mg comp.x 20;Denver Farma;$ 6470.59;50%;$ 3235.3
20854;difenhidramina;DIFENHIDRAMINA DENVER FARMA;jbe.x 120 ml;Denver Farma;$ 7762.76;50%;$ 3881.38
50157;diosmina+hesperidina micronizada;ALIVIAFLEB;500 mg comp.rec.x 30;Denver Farma;$ 26513.31;40%;$ 15907.99
50158;diosmina+hesperidina micronizada;ALIVIAFLEB;500 mg comp.rec.x 60;Denver Farma;$ 46695.82;40%;$ 28017.49
39900;dorzolamida+timolol;ALIVIAPRES;sol.oft.x 5 ml;Denver Farma;$ 24937.54;60%;$ 9975.02
29881;espironolactona;ESPIRONOLACTONA DENVER FARMA;100 mg comp.x 30;Denver Farma;$ 15303.98;50%;$ 7651.99
36476;espironolactona;ESPIRONOLACTONA DENVER FARMA;25 mg comp.x 30;Denver Farma;$ 11343.62;50%;$ 5671.81
31702;fenilefrina+tropicamida;TROPIOFTAL F;sol.oft.x 5 ml;Denver Farma;$ 8090.63;50%;$ 4045.32
50859;fenitoína;FENITOINA DENVER FARMA;100 mg cáps.x 30;Denver Farma;$ 15399.52;80%;$ 3079.9
30221;fenitoína;FENITOINA DENVER FARMA;100 mg cáps.x 50;Denver Farma;$ 24418.48;80%;$ 4883.7
55830;fluticasona+salmeterol;ASMABRON;125/25 c/cont.dosis x120;Denver Farma;$ 33810.06;60%;$ 13524.02
49283;fluticasona+salmeterol;ASMABRON;125/25 mcg aer.x 120 ds.;Denver Farma;$ 24678.71;60%;$ 9871.48
55831;fluticasona+salmeterol;ASMABRON;250/25 c/cont.dosis x120;Denver Farma;$ 40479.27;60%;$ 16191.71
49284;fluticasona+salmeterol;ASMABRON;250/25 mcg aer.x 120 ds.;Denver Farma;$ 28327.37;60%;$ 11330.95
54211;furosemida;FUROSEMIDA DENVER FARMA;40 mg comp.x 50;Denver Farma;$ 13978.01;80%;$ 2795.6
47202;glucosamina;GLUCOSAMINA DENVER FARMA;1500 mg sobres x 30;Denver Farma;$ 935.31;50%;$ 467.66
27526;haloperidol;HALOPERIDOL DENVER FARMA DECANOATO;150 mg a.x 3 ml;Denver Farma;$ 15828.22;60%;$ 6331.29
40957;insulina humana;INSULINA DENSULIN R;100 UI cart.x 5 x 3 ml;Denver Farma;$ 64814.16;100%;$ 0
40956;insulina humana;INSULINA DENSULIN N;100 UI cart.x 5 x 3 ml;Denver Farma;$ 64815.89;100%;$ 0
38605;insulina humana;INSULINA DENSULIN R;100 UI fco. a. x 10ml;Denver Farma;$ 3282.8;100%;$ 0
38604;insulina humana;INSULINA DENSULIN N;100 UI fco. a. x 10ml;Denver Farma;$ 3192.34;100%;$ 0
47508;latanoprost;OFTALPRES;sol.oft.estéril x 2.5 ml;Denver Farma;$ 18753.14;60%;$ 7501.26
13204;lidocaína;LIDOCAINA DENVER FARMA;2% jalea x 25 ml;Denver Farma;$ 5240.28;50%;$ 2620.14
13205;lidocaína;LIDOCAINA DENVER FARMA;2% viscosa fco.got.x50ml;Denver Farma;$ 1409.55;50%;$ 704.78
22917;lidocaína+asoc.;ANTIHEMORROIDAL DENVER FARMA;cr.rectal x 20 g;Denver Farma;$ 8101.04;50%;$ 4050.52
44710;loratadina+ambroxol;ALIVIATOS;sol.x 120 ml;Denver Farma;$ 8271.2;40%;$ 4962.72
36358;losartán;TACICUL;50 mg comp.rec.x 30;Denver Farma;$ 19349.9;80%;$ 3869.98
52044;losartán+hidroclorotiazida;TACICUL D;50/12.5 mg comp.rec.x 30;Denver Farma;$ 20103.55;60%;$ 8041.42
46368;loteprednol+tobramicina;TOBRABIOTIC SOFT;susp.oft.x 5 ml;Denver Farma;$ 11126.46;50%;$ 5563.23
47506;meloxicam;MELOXICAM DENVER FARMA;15 mg comp.x 10;Denver Farma;$ 7687.66;50%;$ 3843.83
47507;meloxicam;MELOXICAM DENVER FARMA;15 mg comp.x 30;Denver Farma;$ 22431.87;50%;$ 11215.94
39489;metformina;GLUCOGOOD;1000 mg comp.rec.x 60;Denver Farma;$ 19629.19;100%;$ 0
39487;metformina;GLUCOGOOD;850 mg comp.rec.x 30;Denver Farma;$ 8186.16;100%;$ 0
39488;metformina;GLUCOGOOD;850 mg comp.rec.x 60;Denver Farma;$ 16105.32;100%;$ 0
22068;metronidazol;METRONIDAZOL DENVER FARMA;500 mg comp.x 20;Denver Farma;$ 8118.52;50%;$ 4059.26
53071;montelukast;DENVERKAST;10 mg comp.x 30;Denver Farma;$ 32929.26;50%;$ 16464.63
53073;montelukast;DENVERKAST;4 mg comp.mast.x 30;Denver Farma;$ 604.51;50%;$ 302.26
53072;montelukast;DENVERKAST;5 mg comp.mast.x 30;Denver Farma;$ 1313.49;50%;$ 656.75
57225;moxifloxacina;MOXIDROP;sol.oft.x 5 ml;Denver Farma;$ 26402.54;80%;$ 5280.51
56489;nebivolol;NEBIVOLOL DENVER FARMA;5 mg comp.x 28;Denver Farma;$ 13098.64;50%;$ 6549.32
31789;nistatina;NISTATINA DENVER FARMA;cr.x 30 g;Denver Farma;$ 443.92;50%;$ 221.96
31788;nistatina;NISTATINA DENVER FARMA;susp.oral x 60 ml;Denver Farma;$ 8496.27;50%;$ 4248.14
18844;nitrofurazona;NITROFURAZONA DENVER FARMA;após.x 20;Denver Farma;$ 10856.43;50%;$ 5428.22
13190;nitrofurazona;NITROFURAZONA DENVER FARMA;pda.x 35 g;Denver Farma;$ 474.5;50%;$ 237.25
42315;prednisolona+fenilefrina;OFTALDROP;susp.oft.x 10 ml;Denver Farma;$ 12786.92;80%;$ 2557.38
53933;pregabalina;GAVANEURAL;150 mg cáps.x 30;Denver Farma;$ 46006.47;50%;$ 23003.24
53931;pregabalina;GAVANEURAL;25 mg caps.x 30;Denver Farma;$ 1642.2;50%;$ 821.1
53932;pregabalina;GAVANEURAL;75 mg cáps.x 30;Denver Farma;$ 29831.54;50%;$ 14915.77
27528;rifamicina;RIFAMICINA SV DENVER FARMA;1% spray x 30 ml;Denver Farma;$ 733.04;60%;$ 293.22
29882;rifamicina;RIFAMICINA SV DENVER FARMA;pda.x 30 g;Denver Farma;$ 568.87;60%;$ 227.55
33236;rifamicina;RIFAMICINA SV DENVER FARMA;sol.uso local x 22 ml;Denver Farma;$ 440.45;60%;$ 176.18
51218;rosuvastatina;NONLIPID;10 mg comp.x 28;Denver Farma;$ 1255.73;50%;$ 627.87
51217;rosuvastatina;NONLIPID;10 mg comp.x 30;Denver Farma;$ 18101.7;50%;$ 9050.85
55556;rosuvastatina;NONLIPID 20 MG;20 mg comp.x 30;Denver Farma;$ 32725.18;50%;$ 16362.59
50519;salbutamol;SALBUDEN HFA CON AEROCAMARA DF 280;inh.HFA+aeroc.x 250ds.;Denver Farma;$ 10228.48;80%;$ 2045.7
45295;salbutamol;SALBUDEN;inhalador hfa x 250 ds.;Denver Farma;$ 7876.99;80%;$ 1575.4
14931;salbutamol;SALBUTAMOL DENVER FARMA;sol.p/nebul.x 20 ml;Denver Farma;$ 6376.86;80%;$ 1275.37
22935;sucralfato;SUCRALFATO DENVER FARMA;20% susp.x 200 ml;Denver Farma;$ 12969.67;50%;$ 6484.84
27819;sulfadiazina de plata+asoc.;SULFADIAZINA DE PLATA DENVER FARMA;cr.pomo x 200 g;Denver Farma;$ 21715.23;50%;$ 10857.62
53499;sulfadiazina de plata+asoc.;SULFADIAZINA DE PLATA DENVER FARMA;cr.pomo x 30 g;Denver Farma;$ 5429.54;50%;$ 2714.77
27818;sulfadiazina de plata+asoc.;SULFADIAZINA DE PLATA DENVER FARMA;cr.pomo x 50 g;Denver Farma;$ 8225.94;50%;$ 4112.97
27820;sulfadiazina de plata+asoc.;SULFADIAZINA DE PLATA DENVER FARMA;cr.pote x 400 g;Denver Farma;$ 40577.7;50%;$ 20288.85
50819;tamsulosina;DENVERPROST;0.4 mg cáps.lib.cont.x30;Denver Farma;$ 30214.16;50%;$ 15107.08
36133;tetrahidrozolina;PIAM;sol.oft.x 10 ml;Denver Farma;$ 5947.48;50%;$ 2973.74
30800;timolol,maleato;TIMOLOL DENVER FARMA;sol.oft.x 5 ml;Denver Farma;$ 7932.12;80%;$ 1586.42
30801;tobramicina;TOBRABIOTIC;sol.oft.x 5 ml;Denver Farma;$ 7545.54;60%;$ 3018.22
30802;tobramicina+dexametasona;TOBRABIOTIC D;susp.oft.x 5 ml;Denver Farma;$ 8919.01;50%;$ 4459.51
53827;dexlansoprazol;IBEPRAL 30;cáps.x 15;Dom¿nguez;$ 1099.25;40%;$ 659.55
53829;dexlansoprazol;IBEPRAL 60;cáps.x 15;Dom¿nguez;$ 1426.18;40%;$ 855.71
53828;dexlansoprazol;IBEPRAL 30;cáps.x 30;Dom¿nguez;$ 33529.98;40%;$ 20117.99
53830;dexlansoprazol;IBEPRAL 60;cáps.x 30;Dom¿nguez;$ 47891.91;40%;$ 28735.15
17992;fosfato disódico+fosfato monosód;FOSFO-DOM;env.x 45 ml;Dom¿nguez;$ 13451.82;50%;$ 6725.91
13418;fólico,ác.;ACIFOL;1 mg comp.x 30;Dom¿nguez;$ 6976.22;50%;$ 3488.11
13419;fólico,ác.;ACIFOL;1 mg comp.x 60;Dom¿nguez;$ 11858.09;50%;$ 5929.05
22693;fólico,ác.;ACIFOL 10;10 mg comp.x 30;Dom¿nguez;$ 14910.87;50%;$ 7455.44
22694;fólico,ác.;ACIFOL 10;10 mg comp.x 60;Dom¿nguez;$ 24419.69;50%;$ 12209.85
16231;fólico,ác.;ACIFOL 5;5 mg comp.x 30;Dom¿nguez;$ 9158.37;50%;$ 4579.19
16232;fólico,ác.;ACIFOL 5;5 mg comp.x 60;Dom¿nguez;$ 15593.04;50%;$ 7796.52
33442;fólico,ác.;ACIFOL GOTAS;fco.x 10 ml;Dom¿nguez;$ 9754.05;50%;$ 4877.03
33856;fólico,ác.+vit.b;ACIFOL B12;comp.x 30;Dom¿nguez;$ 13205.38;50%;$ 6602.69
33859;fólico,ác.+vit.b;ACIFOL B12;comp.x 60;Dom¿nguez;$ 22499.7;50%;$ 11249.85
2609;hidroquinona+asoc.;MELASMAX;cr.x 10 g;Dom¿nguez;$ 23130.01;50%;$ 11565.01
53540;hierro+vit.b12+fólico,ác.;ACIFOL FE;comp.x 30;Dom¿nguez;$ 24448.61;50%;$ 12224.31
53541;hierro+vit.b12+fólico,ác.;ACIFOL FE;comp.x 60;Dom¿nguez;$ 44260.17;50%;$ 22130.09
41686;hierro,sacarato;FERIVE;100 mg a.x 5;Dom¿nguez;$ 39465.75;50%;$ 19732.88
47759;itopride;AFLUSAN;50 mg comp.x 10;Dom¿nguez;$ 7262.79;50%;$ 3631.4
47103;itopride;AFLUSAN;50 mg comp.x 30;Dom¿nguez;$ 18572.15;50%;$ 9286.08
47104;itopride;AFLUSAN;50 mg comp.x 60;Dom¿nguez;$ 35294.19;50%;$ 17647.1
37101;lactasa;LACTAS;cáps.x 20;Dom¿nguez;$ 20498.93;50%;$ 10249.47
37102;lactasa;LACTAS;cáps.x 50;Dom¿nguez;$ 43563.55;50%;$ 21781.78
38274;lactasa;LACTAS;gts.x 3.5 ml;Dom¿nguez;$ 9186.75;50%;$ 4593.38
2607;magnesio;MAGNEBE;comp.x 24;Dom¿nguez;$ 18522.56;40%;$ 11113.54
2608;magnesio;MAGNEBE;comp.x 60;Dom¿nguez;$ 40306.22;40%;$ 24183.73
53164;mesalazina;5-ASA 1000;1 g sob.x 30;Dom¿nguez;$ 106420.39;50%;$ 53210.2
53165;mesalazina;5-ASA 2000;2 g sob.x 30;Dom¿nguez;$ 189613.63;50%;$ 94806.82
11105;mesalazina;5-ASA 400;400 mg comp.x 30;Dom¿nguez;$ 50799.91;50%;$ 25399.96
11106;mesalazina;5-ASA 400;400 mg comp.x 60;Dom¿nguez;$ 96592.17;50%;$ 48296.09
11107;mesalazina;5-ASA 400;400 mg sup.x 10;Dom¿nguez;$ 23271.62;50%;$ 11635.81
11108;mesalazina;5-ASA 400;400 mg sup.x 30;Dom¿nguez;$ 66618.64;50%;$ 33309.32
43119;mesalazina;5-ASA 500;500 mg comp.x 30;Dom¿nguez;$ 53969.93;50%;$ 26984.97
43120;mesalazina;5-ASA 500;500 mg comp.x 60;Dom¿nguez;$ 97148.5;50%;$ 48574.25
43121;mesalazina;5-ASA 800;800 mg comp.x 30;Dom¿nguez;$ 86347.75;50%;$ 43173.88
43122;mesalazina;5-ASA 800;800 mg comp.x 60;Dom¿nguez;$ 149326.47;50%;$ 74663.24
43726;midodrine;GUTRON;2.5 mg comp.x 20;Dom¿nguez;$ 20811.63;50%;$ 10405.82
43727;midodrine;GUTRON;2.5 mg comp.x 50;Dom¿nguez;$ 46821.62;50%;$ 23410.81
30539;nitroglicerina;NITRODOM;pomo x 15 g;Dom¿nguez;$ 37923.54;60%;$ 15169.42
41279;peg 3350;BAREX UNIPEG;sobres x 12;Dom¿nguez;$ 37785.83;50%;$ 18892.92
48228;peg 3350;BAREX UNIPEG;sobres x 24;Dom¿nguez;$ 68018.93;50%;$ 34009.47
50476;peg 3350;BAREX UNIPEG;sobres x 30;Dom¿nguez;$ 85024.47;50%;$ 42512.24
21690;peg 3350+asoc.;BAREX S;pvo.hidrosol.sob.x 24;Dom¿nguez;$ 18233.53;50%;$ 9116.77
21691;peg 3350+asoc.;BAREX S;pvo.hidrosol.sob.x 50;Dom¿nguez;$ 37722.76;50%;$ 18861.38
16713;peg 3350+asoc.;BAREX 70;pvo.p/sol.oral x 1 l;Dom¿nguez;$ 12307.99;50%;$ 6154
11456;peg 3350+asoc.;BAREX SABORIZADO;pvo.p/sol.oral x 4 l;Dom¿nguez;$ 41478.63;50%;$ 20739.32
39541;peg 3350+bisacodilo;BAREX KIT;barex70 x2+ 4c.bisacodil;Dom¿nguez;$ 44398.28;50%;$ 22199.14
44212;pinaverio,bromuro;NULITE;100 mg comp.x 10;Dom¿nguez;$ 8374.22;50%;$ 4187.11
43692;pinaverio,bromuro;NULITE;100 mg comp.x 30;Dom¿nguez;$ 23114.47;50%;$ 11557.24
43693;pinaverio,bromuro;NULITE;100 mg comp.x 60;Dom¿nguez;$ 43918.22;50%;$ 21959.11
21693;poliestiren sulfonato cálcico;R.I.C.CALCIO;pvo.x 100g(sob.x 20x 5g);Dom¿nguez;$ 28812.36;50%;$ 14406.18
15747;poliestiren sulfonato cálcico;R.I.C.CALCIO;pvo.x 400 g;Dom¿nguez;$ 92460.76;50%;$ 46230.38
51706;quinidina,sulfato;QUINIDINA;grag.x 20;Dom¿nguez;$ 5432.3;60%;$ 2172.92
49524;rifaximina;RIFADOM;200 mg comp.x 20;Dom¿nguez;$ 16941.65;50%;$ 8470.83
49525;rifaximina;RIFADOM;200 mg comp.x 40;Dom¿nguez;$ 32187.83;50%;$ 16093.92
49635;rifaximina;RIFADOM;550 mg comp.x 10;Dom¿nguez;$ 23190.76;50%;$ 11595.38
49636;rifaximina;RIFADOM;550 mg comp.x 30;Dom¿nguez;$ 59138.01;50%;$ 29569.01
49637;rifaximina;RIFADOM;550 mg comp.x 60;Dom¿nguez;$ 100534.19;50%;$ 50267.1
39802;sodio,fosfato+bisacodilo;FOSFO-DOM KIT;Fosfodom+Bisacod:4c+1sup;Dom¿nguez;$ 2243.87;50%;$ 1121.94
24282;ursodesoxicólico,ác.;DEXO;150 mg comp.x 20;Dom¿nguez;$ 16173.36;50%;$ 8086.68
24283;ursodesoxicólico,ác.;DEXO;300 mg comp.x 20;Dom¿nguez;$ 28182.58;50%;$ 14091.29
24284;ursodesoxicólico,ác.;DEXO;300 mg comp.x 50;Dom¿nguez;$ 67932.45;50%;$ 33966.23
35188;vit.b12;SL B12;comp.ran.x 15;Dom¿nguez;$ 22844.62;40%;$ 13706.77
35189;vit.b12;SL B12;comp.ran.x 30;Dom¿nguez;$ 39723.25;40%;$ 23833.95
49030;vit.d;DENURIX;gts.x 10 ml;Dom¿nguez;$ 18387.57;40%;$ 11032.54
49029;vit.d;DENURIX;gts.x 4 ml;Dom¿nguez;$ 7897.67;40%;$ 4738.6
59451;etoricoxib;SIATEX;120 mg comp. x 10;Donato Zurlo;$ 12808.12;50%;$ 6404.06
59448;etoricoxib;SIATEX;60 mg comp. x 28;Donato Zurlo;$ 24832.93;50%;$ 12416.47
59449;etoricoxib;SIATEX;90 mg comp. x 14;Donato Zurlo;$ 20157.05;50%;$ 10078.53
59450;etoricoxib;SIATEX;90 mg comp. x 28;Donato Zurlo;$ 32466.98;50%;$ 16233.49
60100;tiras reactivas;VIVACHEK INO;tiras reactivas x 50;Drog. Farmaquio;$ 47877.28;100%;$ 0
26844;azitromicina;CLEARSING;500 mg comp.x 3;Duncan;$ 6986.95;60%;$ 2794.78
2765;bromazepam;NULASTRES;3 mg comp.x 20;Duncan;$ 713.22;50%;$ 356.61
2766;bromazepam;NULASTRES;3 mg comp.x 50;Duncan;$ 1462.45;50%;$ 731.23
2767;bromazepam;NULASTRES;6 mg comp.x 20;Duncan;$ 917.09;50%;$ 458.55
2768;bromazepam;NULASTRES;6 mg comp.x 50;Duncan;$ 1949.35;50%;$ 974.68
14372;ciprofloxacina;CIPROFLOXACINA DUNCAN;500 mg comp.x 10;Duncan;$ 12498.85;60%;$ 4999.54
11338;diclofenac dietilamina;CURINFLAM;gel x 50 g;Duncan;$ 7202.17;40%;$ 4321.3
2752;diclofenac sódico;CURINFLAM A.P.;cáps.x 15;Duncan;$ 14505.87;40%;$ 8703.52
2754;diclofenac sódico;CURINFLAM;iny.a.x 6 x 3 ml;Duncan;$ 9407.76;40%;$ 5644.66
30248;difenhidramina;HISTALER;jbe.x 1 x 120 ml;Duncan;$ 7197.31;50%;$ 3598.66
255;enalapril;ENALDUN;10 mg comp.x 30;Duncan;$ 6649.15;80%;$ 1329.83
32527;enalapril;ENALDUN;10 mg comp.x 60;Duncan;$ 11340.09;80%;$ 2268.02
457;enalapril;ENALDUN;20 mg comp.x 30;Duncan;$ 8409.09;80%;$ 1681.82
32528;enalapril;ENALDUN;20 mg comp.x 60;Duncan;$ 3205.1;80%;$ 641.02
35593;enalapril;ENALDUN;5 mg comp.x 30;Duncan;$ 4786.47;80%;$ 957.29
11357;gemfibrozil;GEDUN;600 mg comp.x 30;Duncan;$ 18793.79;60%;$ 7517.52
4815;sulfametoxazol+trimetoprima;NETOCUR;800/160 mg comp.x 10;Duncan;$ 8478.92;60%;$ 3391.57
4814;sulfametoxazol+trimetoprima;NETOCUR;jbe.x 100 ml;Duncan;$ 7478.02;60%;$ 2991.21
2899;sulfametoxazol+trimetoprima+asoc;NETOCUR BALSAMICO;comp.x 10;Duncan;$ 8050.13;50%;$ 4025.07
2843;sulfametoxazol+trimetoprima+asoc;NETOCUR BALSAMICO;jbe.x 100 ml;Duncan;$ 7481.4;50%;$ 3740.7
57506;bisoprolol;PROBLOCK;10 mg comp.rec.x 30;Eczane;$ 16510.48;60%;$ 6604.19
57507;bisoprolol;PROBLOCK;2.5 mg comp.rec.x 30;Eczane;$ 6241.23;60%;$ 2496.49
55671;bisoprolol;PROBLOCK;5 mg comp.rec.x 30;Eczane;$ 11056.8;60%;$ 4422.72
20363;budesonide;ENTOCORT;cáps.lib.contr.x 100;Eczane;$ 290485.84;50%;$ 145242.92
55690;diclofenac sódico;ACLOXIGENAC;50 mg comp.rec.x 10;Eczane;$ 2656.23;40%;$ 1593.74
55689;diclofenac sódico;ACLOXIGENAC;50 mg comp.rec.x 15;Eczane;$ 3790.22;40%;$ 2274.13
51511;domperidona;ESTOCALM;10 mg comp.x 20;Eczane;$ 6382.21;50%;$ 3191.11
50129;domperidona;ESTOCALM;10 mg comp.x 50;Eczane;$ 15164.26;50%;$ 7582.13
52158;fenofibrato micronizado;FENOSANE;200 mg cáps.x 30;Eczane;$ 23165.7;60%;$ 9266.28
48412;ftalilsulfatiazol+asoc.;CARBOMAX;comp.x 20;Eczane;$ 5760.44;50%;$ 2880.22
51944;itopride;ITOPLUS;50 mg comp.x 10;Eczane;$ 9845.99;50%;$ 4923
51945;itopride;ITOPLUS;50 mg comp.x 30;Eczane;$ 11663.91;50%;$ 5831.96
51946;itopride;ITOPLUS;50 mg comp.x 60;Eczane;$ 19965.65;50%;$ 9982.83
47217;loperamida;LOVOPREN;2 mg comp.x 10;Eczane;$ 3372.32;50%;$ 1686.16
55144;nebivolol;NEOBLOCK 5;5 mg comp.x 28;Eczane;$ 12196.68;50%;$ 6098.34
49133;otilonio,bromuro;PIOMAT;comp.rec.x 20;Eczane;$ 7795.9;50%;$ 3897.95
49134;otilonio,bromuro;PIOMAT;comp.rec.x 40;Eczane;$ 15173.44;50%;$ 7586.72
49135;otilonio,bromuro;PIOMAT;comp.rec.x 60;Eczane;$ 20657.87;50%;$ 10328.94
51947;rosuvastatina;ROVASTANE;10 mg comp.rec.x 30;Eczane;$ 11156.3;50%;$ 5578.15
51949;rosuvastatina;ROVASTANE;20 mg comp.rec.x 30;Eczane;$ 20667.41;50%;$ 10333.71
58014;telmisartán;MITEX;40 mg comp.x 28;Eczane;$ 19174.43;60%;$ 7669.77
58015;telmisartán;MITEX;80 mg comp.x 28;Eczane;$ 29866.23;60%;$ 11946.49
50268;tióctico,ác.;THIOGAMMA 600 ORAL;600 mg comp.rec.x 30;Eczane;$ 3081.13;50%;$ 1540.57
47511;trimebutina;NORMOPAX 200;comp.x 30;Eczane;$ 9296.68;50%;$ 4648.34
